,tweet_favorite,tweet_id,tweet_retweet,user_favorite,user_follower,user_friend,user_id,user_mention_favorite,user_mention_follower,user_mention_friend,user_mention_id,user_mention_screen_name,user_mention_statuses,user_screen_name,user_statuses
765,0,771547482761199616,46,2186,150,301,724549563760017408,N/A,N/A,N/A,730875392,dantdm,N/A,LilSlimeytweets,1573
766,0,771547480903196672,0,0,0,1,4883098733,N/A,N/A,N/A,10228272,YouTube,N/A,f_cools,173
767,1,771547477153505280,0,49,105,252,2505315326,N/A,N/A,N/A,10228272,YouTube,N/A,ytdanielbailey,2964
768,0,771547477027631105,6,1703,60,131,765753030,N/A,N/A,N/A,765704473494757379,RealDonu,N/A,ducklife9000,1511
769,0,771547476528472067,0,17,8,54,2930444734,N/A,N/A,N/A,759184675768119297,BonnXBonnie,N/A,minecraft_ana10,251
770,0,771547461097627648,1,2732,1248,261,3434773197,N/A,N/A,N/A,3904113197,Matheus34127539,N/A,Cobolino,6522
771,0,771547459361181696,0,69,134,327,55811304,N/A,N/A,N/A,10228272,YouTube,N/A,Lorenakoran,5418
772,0,771547452662874112,18,13,0,1,767964479774601216,N/A,N/A,N/A,476113573,HoraDeAventura_,N/A,461_656,9
773,0,771547448275705856,0,32289,196,95,4395147989,N/A,N/A,N/A,10228272,YouTube,N/A,Bo7Benizio,8527
774,0,771547426171686912,0,519,93,170,2426258572,N/A,N/A,N/A,10228272,YouTube,N/A,creeperillousio,965
775,0,771547423248297985,161,1061,100,286,2990787800,N/A,N/A,N/A,2587967809,ColossalisCrazy,N/A,thecodnerd87,1112
776,0,771547417569206272,0,3,6,23,766082700520325121,N/A,N/A,N/A,10228272,YouTube,N/A,5rNyck,195
777,0,771547412376670208,0,3730,24,35,725696390781788160,N/A,N/A,N/A,10228272,YouTube,N/A,SecretNinja78,565
778,1,771547409734176768,0,241,3563,684,28614453,N/A,N/A,N/A,N/A,N/A,N/A,kcalderw,21767
779,0,771547401752412160,0,161,53,55,1586021569,N/A,N/A,N/A,10228272,YouTube,N/A,Wcgamer100,1736
780,0,771547396304023555,0,193,31,9,2347807957,N/A,N/A,N/A,10228272,YouTube,N/A,EcrozzMudkip,77
781,2,771547384773943296,0,114,134,104,3183628718,N/A,N/A,N/A,N/A,N/A,N/A,ItsFlashtime,530
782,0,771547376263704578,0,0,319,168,1566137936,N/A,N/A,N/A,N/A,N/A,N/A,star_wars_toy,365140
783,0,771547375013769220,1,375,80,553,700922861603651585,N/A,N/A,N/A,3011059343,xCawrson,N/A,Melvzz44,755
784,0,771547374044876801,0,1,14159,10213,1905347466,N/A,N/A,N/A,N/A,N/A,N/A,YoutubeGamesBR,18819
785,0,771547372291633152,1,99,6,29,753428607234486272,N/A,N/A,N/A,2345444287,TheCrugerMX,N/A,Juggerjazi203,136
786,0,771547345905344513,0,6788,501,252,4716876153,N/A,N/A,N/A,562448802,nofaxu,N/A,Mingaudopepo,5928
787,0,771547344550531072,0,1,800,1143,286626511,N/A,N/A,N/A,N/A,N/A,N/A,minecraft_bot,49678
788,0,771547340540743684,0,0,56,82,3168302533,N/A,N/A,N/A,N/A,N/A,N/A,pepsi_minecraft,3914
789,0,771547335620894720,0,145,10,27,2174955775,N/A,N/A,N/A,10228272,YouTube,N/A,Guivh1,744
790,0,771547312095006722,0,44,61,96,2614021784,N/A,N/A,N/A,10228272,YouTube,N/A,ccampbell0221,359
791,0,771547308668260352,0,64,6,9,2996682567,N/A,N/A,N/A,10228272,YouTube,N/A,loh_fofa,1012
792,0,771547276854464512,0,0,5,23,2236118228,N/A,N/A,N/A,10228272,YouTube,N/A,HuggyGamesBr,3163
793,0,771547247238483968,0,0,271,728,422074615,N/A,N/A,N/A,10228272,YouTube,N/A,LeonardoFSC1,1732
794,0,771547238438887424,0,0,648,507,134488290,N/A,N/A,N/A,N/A,N/A,N/A,styhuang,561614
795,0,771547213319155712,0,5313,245,218,1966125601,N/A,N/A,N/A,10228272,YouTube,N/A,HunterBallard_,4748
796,0,771547197720530945,0,12,18,11,2345275760,N/A,N/A,N/A,10228272,YouTube,N/A,SuperBoyZTF,255
797,0,771547170021314560,0,6,57,115,2178777301,N/A,N/A,N/A,10228272,YouTube,N/A,LautiNaruto12,7945
798,1,771547167882215424,0,260,588,1022,2479657507,N/A,N/A,N/A,N/A,N/A,N/A,CreativeBuilds,515
799,0,771547166099648512,0,426,116,153,355929389,N/A,N/A,N/A,10228272,YouTube,N/A,Seb8tian,3010
800,0,771547164782624768,0,38,12,44,3190380298,N/A,N/A,N/A,10228272,YouTube,N/A,xZevasMC_,1139
801,0,771547153302900737,1,7201,1349,564,2458860494,N/A,N/A,N/A,609598340,yoitzgab,N/A,mannyre4,43122
